Age,M_Mtot,R_cm,logP,logT,logRho,logL,Kappa,Sint,Gradrad,Gradad,Gradtot,Tau,Lconv,X,Y,Z
4600.0,0.9998900690765,2527366136.059,8.067345395716,2.483675694142,-1.897873370761,21.66957684216,2.920878133826,318572396.68,8.414997549948,0.2906434255439,0.2906434507862,171962.4923466,1,0.565558,0.213114,0.221328
4600.0,0.9998745070528,2526087580.577,8.12076686001,2.499174801733,-1.86311405315,21.6695741685,3.380589265853,318566095.8736,9.549092143396,0.2897111129124,0.2897111360233,224999.6893818,1,0.565547,0.213111,0.221343
4600.0,0.9998569457668,2524754047.335,8.174183659359,2.514627433973,-1.82855394205,21.66957104114,3.905800894663,318559691.958,10.82157683368,0.2887232394927,0.2887232606874,294286.9748123,1,0.565534,0.213107,0.221359
4600.0,0.9998371587844,2523364528.709,8.22752347459,2.530052012658,-1.794235946079,21.66956738437,4.500903542035,318551678.7654,12.2328201566,0.2898004402243,0.2898004597265,384470.8034559,1,0.56552,0.213104,0.221377
4600.0,0.9998148721513,2521916393.81,8.280781506693,2.545447301806,-1.760129073281,21.66956311084,5.169445930762,318543740.5178,13.78329860784,0.2883109291853,0.288310947143,501467.2536162,1,0.565504,0.213099,0.221397
4600.0,0.9997897978937,2520408036.914,8.333916450215,2.560822758823,-1.726231825394,21.66955812787,5.913672577616,318533962.5249,15.46697798221,0.2902662546043,0.2902662711842,652530.6547489,1,0.565485,0.213095,0.22142
4600.0,0.9997616136776,2518837543.797,8.386900836437,2.576183797937,-1.692584613196,21.6695523186,6.734636687752,318522400.116,17.27464086979,0.2901711002979,0.2901711156194,846578.4276252,1,0.565465,0.213089,0.221446
4600.0,0.9997299606619,2517202651.58,8.439714965787,2.591533395661,-1.65923356059,21.66954556255,7.632246683268,318511756.7384,19.19419872819,0.2902843157517,0.2902843298487,1094471.933776,1,0.565442,0.213083,0.221475
4600.0,0.9996943221144,2515495300.799,8.492509545052,2.606823473943,-1.626115421716,21.66953769489,8.606878593546,318499207.7338,21.23269619054,0.2885431832661,0.2885431962182,1410412.546114,1,0.565416,0.213076,0.221508
4600.0,0.9996541360303,2513708530.187,8.545367320744,2.622025172369,-1.593222467774,21.66952850158,9.658400672806,318480097.556,23.39504762102,0.2882154367036,0.2882154485972,1811722.045558,1,0.565386,0.213069,0.221545
4600.0,0.9996090429809,2511845955.472,8.598043960657,2.637207035291,-1.560891932714,21.66951782576,10.78275856189,318465545.6443,25.63933164119,0.2871197703561,0.2871197812459,2316458.093455,1,0.565354,0.21306,0.221586
