# Equilibrium shape and gravity solved with 4th-order Theory of Figures
#
# Model name: uranus
#
# Scalar quantities:
# N levels = 4096
# xlevels = 256
# Mass M = 8.681327149505273e+25 kg
# Mean radius       s0 = 2.538871e+07 m
# Equatorial radius a0 = 2.555900e+07 m
# Rotation period P = 62063.7 s
# Rotation parameter m = 0.028857
# Rotation parameter q = 0.029534
# Normalized MOI = 0.225849
#
# Calculated gravity zonal harmonics (x 10^6):
# J0  = -1000570.928990
# J2  =  3509.293304
# J4  =   -35.742893
# J6  =     0.631522
# J8  =    -0.016567
#
# Column data description (MKS):
# i     - level surface index (increasing with depth)
# s_i   - mean radius of level surface i
# rho_i - density on level surfaces i
# P_i   - pressure on level surface i
#
# Column data:
#    i     s_i         rho_i       P_i
   150  2.4459e+07  1.5962e+02  1.2993e+09  
   151  2.4453e+07  1.5963e+02  1.3086e+09  
   152  2.4447e+07  1.5964e+02  1.3179e+09  
   153  2.4440e+07  1.5966e+02  1.3272e+09  
   154  2.4434e+07  1.5967e+02  1.3365e+09  
   155  2.4428e+07  1.5969e+02  1.3458e+09  
   156  2.4422e+07  1.5970e+02  1.3551e+09  
   157  2.4416e+07  1.5972e+02  1.3645e+09  
   158  2.4409e+07  1.5973e+02  1.3738e+09  
   159  2.4403e+07  1.5974e+02  1.3831e+09  
   160  2.4397e+07  1.5976e+02  1.3925e+09  
   161  2.4391e+07  1.5977e+02  1.4018e+09  
   162  2.4385e+07  1.5979e+02  1.4112e+09  
   163  2.4378e+07  1.5980e+02  1.4205e+09  
   164  2.4372e+07  1.5981e+02  1.4299e+09  
   165  2.4366e+07  1.5983e+02  1.4393e+09  
   166  2.4360e+07  1.5984e+02  1.4486e+09  
   167  2.4354e+07  1.5986e+02  1.4580e+09  
   168  2.4347e+07  1.5987e+02  1.4674e+09  
   169  2.4341e+07  1.5989e+02  1.4768e+09  
   170  2.4335e+07  1.5990e+02  1.4862e+09  
   171  2.4329e+07  1.5992e+02  1.4956e+09  
   172  2.4323e+07  1.5993e+02  1.5050e+09  
   173  2.4316e+07  1.5995e+02  1.5144e+09  
